City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Boende,CD,-0.2167,20.8667,69.53,99,100,1.3,moderate rain
79,Marsh Harbour,BS,26.5412,-77.0636,80.76,62,2,15.55,clear sky
80,Qaqortoq,GL,60.7167,-46.0333,32.0,69,8,5.75,clear sky
81,Hobart,AU,-42.8794,147.3294,48.25,82,75,4.61,broken clouds
82,Castro,BR,-24.7911,-50.0119,62.4,94,92,3.49,overcast clouds
83,Kahului,US,20.8947,-156.47,86.02,59,0,14.97,clear sky
84,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,60,92,8.08,overcast clouds
85,Vao,NC,-22.6667,167.4833,70.74,66,21,5.59,few clouds
86,Amalapuram,IN,16.5833,82.0167,76.05,93,47,2.91,scattered clouds
87,Pokosnoye,RU,55.5258,101.0536,27.01,75,78,3.76,broken clouds
88,Dikson,RU,73.5069,80.5464,29.05,89,100,7.9,overcast clouds
89,Barrow,US,71.2906,-156.7887,28.42,80,100,23.02,overcast clouds
90,Broome,US,42.2506,-75.833,65.62,46,40,8.05,scattered clouds
91,Port Alfred,ZA,-33.5906,26.891,66.18,91,100,3.0,overcast clouds
92,Bethel,US,41.3712,-73.414,65.01,54,75,5.75,broken clouds
93,Port Lincoln,AU,-34.7333,135.8667,56.34,85,76,14.16,broken clouds
94,Cherskiy,RU,68.75,161.3,4.77,97,98,6.93,overcast clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,60.82,83,0,10.36,clear sky
96,Ngunguru,NZ,-35.6167,174.5,57.36,69,13,6.11,few clouds
97,Cayenne,GF,4.9333,-52.3333,89.64,58,0,10.36,clear sky
98,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,10.36,broken clouds
99,Beringovskiy,RU,63.05,179.3167,24.22,73,100,15.84,overcast clouds
100,Port Elizabeth,ZA,-33.918,25.5701,72.1,96,0,6.91,clear sky
101,Panaba,MX,21.2833,-88.2667,86.97,62,87,12.75,light rain
102,Yanji,CN,42.9075,129.5078,38.32,57,0,10.96,clear sky
103,Cidreira,BR,-30.1811,-50.2056,65.93,92,74,11.07,broken clouds
104,Arman,RU,59.7,150.1667,18.79,67,91,8.32,overcast clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,86.18,61,20,9.48,few clouds
106,Sidi Ali,DZ,36.0998,0.4206,76.17,59,100,8.1,overcast clouds
107,Uri,IN,34.0833,74.0333,58.24,70,0,3.36,clear sky
108,Camacha,PT,33.0833,-16.3333,69.22,68,40,5.75,scattered clouds
109,Tasiilaq,GL,65.6145,-37.6368,30.36,59,63,6.85,broken clouds
110,Ancud,CL,-41.8697,-73.8203,64.22,71,91,4.54,overcast clouds
111,Princeton,US,25.5384,-80.4089,87.03,70,20,14.97,few clouds
112,Cabedelo,BR,-6.9811,-34.8339,83.07,76,18,14.18,few clouds
113,Talnakh,RU,69.4865,88.3972,29.21,96,100,8.7,light snow
114,Devils Lake,US,48.1128,-98.8651,39.31,50,40,18.41,scattered clouds
115,Aitape,PG,-3.1374,142.3475,76.46,90,77,2.28,broken clouds
116,Buluang,PH,13.3068,123.3425,78.62,90,95,7.23,overcast clouds
117,Pisco,PE,-13.7,-76.2167,68.05,64,0,17.27,clear sky
118,Ambilobe,MG,-13.2,49.05,73.13,71,87,4.92,overcast clouds
119,Ilulissat,GL,69.2167,-51.1,39.22,60,100,8.05,overcast clouds
120,Fortuna,US,40.5982,-124.1573,65.98,69,100,11.5,overcast clouds
121,Guerrero Negro,MX,27.9769,-114.0611,75.24,52,5,13.94,clear sky
122,Yertsevo,RU,60.7966,40.086,44.1,88,100,9.66,light rain
123,Japura,ID,-0.3167,102.35,73.63,99,100,3.85,moderate rain
124,Narsaq,GL,60.9167,-46.05,35.82,71,10,6.35,clear sky
125,Adrar,MR,20.5022,-10.0711,92.17,23,44,3.09,light rain
126,Nikolskoye,RU,59.7035,30.7861,51.69,85,100,11.92,overcast clouds
127,Llanes,ES,43.4198,-4.7549,67.75,68,57,3.96,broken clouds
128,Alofi,NU,-19.0595,-169.9187,78.69,83,17,11.5,few clouds
129,Tambacounda,SN,13.7539,-13.7586,83.05,68,66,7.0,broken clouds
130,Lagoa,PT,39.05,-27.9833,66.45,58,95,25.26,light rain
131,Taraz,KZ,42.9,71.3667,54.01,40,100,8.95,overcast clouds
132,Naze,JP,28.3667,129.4833,77.92,85,98,4.9,overcast clouds
133,Airai,TL,-8.9266,125.4092,60.8,69,65,2.28,broken clouds
134,Rafaela,AR,-31.2503,-61.4867,77.0,32,0,4.0,clear sky
135,Yellowknife,CA,62.456,-114.3525,30.72,93,75,16.11,broken clouds
136,Constitucion,CL,-35.3333,-72.4167,59.79,69,59,18.32,broken clouds
137,Chapais,CA,49.7834,-74.8492,44.38,69,100,7.2,overcast clouds
138,Alihe,CN,50.5667,123.7167,28.24,64,96,6.96,overcast clouds
139,Andros Town,BS,24.7,-77.7667,84.16,66,17,16.42,few clouds
140,Rozkishne,UA,48.5074,39.3004,42.28,64,0,6.53,clear sky
141,Poum,NC,-20.2333,164.0167,74.64,69,10,12.55,clear sky
142,Lavrentiya,RU,65.5833,-171.0,30.18,80,100,21.45,overcast clouds
143,Emerald,AU,-23.5333,148.1667,64.54,100,100,0.0,overcast clouds
144,Broken Hill,AU,-31.95,141.4333,55.76,61,0,10.18,clear sky
145,Bluff,NZ,-46.6,168.3333,51.19,68,71,17.54,broken clouds
146,Vila Velha,BR,-20.3297,-40.2925,76.95,77,40,10.36,scattered clouds
147,Fairbanks,US,64.8378,-147.7164,36.09,86,75,4.61,broken clouds
