City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tasiilaq,GL,2022-10-13 00:29:48,65.6145,-37.6368,32.16,94,100,5.64
68,Dingle,PH,2022-10-13 00:29:49,10.9995,122.6711,81.36,83,100,7.96
69,Ruteng,ID,2022-10-13 00:29:49,-8.6136,120.4721,69.64,74,32,2.57
70,Castro,BR,2022-10-13 00:29:50,-24.7911,-50.0119,59.92,98,79,3.02
71,Nanortalik,GL,2022-10-13 00:29:52,60.1432,-45.2371,29.16,62,11,17.52
72,Qaanaaq,GL,2022-10-13 00:29:52,77.484,-69.3632,6.03,64,13,8.32
73,Bluff,NZ,2022-10-13 00:29:53,-46.6,168.3333,49.8,56,99,4.23
74,San Policarpo,PH,2022-10-13 00:29:53,12.1791,125.5072,81.66,80,100,4.7
75,Vaini,TO,2022-10-13 00:29:53,-21.2,-175.2,77.16,88,40,6.91
76,Alofi,NU,2022-10-13 00:29:54,-19.0595,-169.9187,82.29,78,75,10.36
77,Zhigalovo,RU,2022-10-13 00:29:54,54.8097,105.1578,36.46,95,95,1.72
78,Hithadhoo,MV,2022-10-13 00:29:54,-0.6,73.0833,80.1,76,93,13.31
79,Tulun,RU,2022-10-13 00:29:55,54.5611,100.5792,36.91,98,100,3.04
80,High Rock,BS,2022-10-13 00:29:55,26.6208,-78.2833,80.62,76,95,9.71
81,Namibe,AO,2022-10-13 00:26:03,-15.1961,12.1522,69.28,85,79,5.93
82,Hami,CN,2022-10-13 00:29:55,42.8,93.45,47.37,57,1,7.29
83,Lasa,IT,2022-10-13 00:29:56,46.6166,10.7002,48.36,90,14,1.72
84,Celestun,MX,2022-10-13 00:29:56,20.8667,-90.4,81.0,83,95,8.52
85,Codrington,AU,2022-10-13 00:29:57,-38.2667,141.9667,52.41,94,100,5.23
86,Charters Towers,AU,2022-10-13 00:29:57,-20.1,146.2667,79.05,46,9,14.47
87,Lompoc,US,2022-10-13 00:29:57,34.6391,-120.4579,76.01,83,20,10.36
88,Avarua,CK,2022-10-13 00:29:58,-21.2078,-159.775,80.65,78,75,17.27
89,Ponta Do Sol,PT,2022-10-13 00:29:58,32.6667,-17.1,72.23,68,45,4.12
90,Saint George,US,2022-10-13 00:29:21,37.1041,-113.5841,88.25,14,0,4.61
91,Orange Cove,US,2022-10-13 00:29:58,36.6244,-119.3137,90.93,24,0,0.0
92,Deputatskiy,RU,2022-10-13 00:29:59,69.3,139.9,1.33,86,3,4.41
93,Tuktoyaktuk,CA,2022-10-13 00:30:59,69.4541,-133.0374,30.2,69,20,10.36
94,Mount Isa,AU,2022-10-13 00:31:00,-20.7333,139.5,96.57,26,44,19.57
95,Carnarvon,AU,2022-10-13 00:31:00,-24.8667,113.6333,67.95,29,0,19.93
96,Skelleftea,SE,2022-10-13 00:31:01,64.7507,20.9528,34.16,100,100,3.44
97,Karratha,AU,2022-10-13 00:31:01,-20.7377,116.8463,75.87,26,5,26.98
98,Vardo,NO,2022-10-13 00:31:02,70.3705,31.1107,39.18,81,75,18.41
99,Hilton Head Island,US,2022-10-13 00:31:02,32.2163,-80.7526,74.98,88,0,1.99
100,Prince Rupert,CA,2022-10-13 00:31:02,54.3161,-130.3201,55.49,85,0,4.61
101,Lebedinyy,RU,2022-10-13 00:31:03,58.5167,125.5167,31.91,90,98,8.66
102,Mitu,CO,2022-10-13 00:31:04,1.1983,-70.1733,75.49,84,88,0.98
103,Langenburg,DE,2022-10-13 00:31:04,49.2544,9.8458,47.91,100,20,5.75
104,Rosa Zarate,EC,2022-10-13 00:31:05,0.3333,-79.4667,71.33,87,100,4.5
105,Kupang,ID,2022-10-13 00:31:06,-10.1667,123.5833,84.74,61,23,5.59
106,Maiduguri,NG,2022-10-13 00:31:06,11.8464,13.1603,80.65,65,92,4.41
107,Souillac,MU,2022-10-13 00:31:07,-20.5167,57.5167,69.08,79,16,12.41
108,Port Hedland,AU,2022-10-13 00:31:07,-20.3167,118.5667,77.05,23,91,25.32
109,La Ronge,CA,2022-10-13 00:30:44,55.1001,-105.2842,34.05,55,75,27.63
110,Port Alfred,ZA,2022-10-13 00:31:08,-33.5906,26.891,67.17,93,100,5.01
111,Chadiza,ZM,2022-10-13 00:31:09,-14.0678,32.4392,63.27,36,1,3.15
112,Dikson,RU,2022-10-13 00:31:09,73.5069,80.5464,30.04,72,100,8.43
113,Edd,ER,2022-10-13 00:31:10,13.9297,41.6925,86.18,60,0,6.35
114,Jamestown,US,2022-10-13 00:31:10,42.097,-79.2353,67.59,42,100,11.5
115,Mackay,AU,2022-10-13 00:30:49,-21.15,149.2,79.68,60,28,13.0
116,Chokurdakh,RU,2022-10-13 00:31:11,70.6333,147.9167,7.25,85,33,4.54
